GenerationFileの情報,エージェントID,発生時刻1,発生時刻2,到着時刻1,到着時刻2,移動時間1,移動時間2
TIMEEVERY SEAT_1F_CL15 18:00:00 18:00:00 1 1 10 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00554,18:00:00,0,18:02:31,151,00:02:31,151
TIMEEVERY SEAT_1F_LL08 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00260,18:00:00,0,18:02:32,152,00:02:32,152
TIMEEVERY SEAT_1F_LL06 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00179,18:00:00,0,18:02:33,153,00:02:33,153
TIMEEVERY SEAT_1F_CL14 18:00:00 18:00:00 1 1 10 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00509,18:00:00,0,18:02:33,153,00:02:33,153
TIMEEVERY SEAT_1F_LR16 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00584,18:00:00,0,18:02:34,154,00:02:34,154
TIMEEVERY SEAT_1F_LL07 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00221,18:00:00,0,18:02:35,155,00:02:35,155
TIMEEVERY SEAT_1F_LL04 18:00:00 18:00:00 1 1 4 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00102,18:00:00,0,18:02:35,155,00:02:35,155
TIMEEVERY SEAT_1F_LL14 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00498,18:00:00,0,18:02:36,156,00:02:36,156
TIMEEVERY SEAT_1F_LL06 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00181,18:00:00,0,18:02:37,157,00:02:37,157
TIMEEVERY SEAT_1F_LL17 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00620,18:00:00,0,18:02:37,157,00:02:37,157
TIMEEVERY SEAT_1F_LL07 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00219,18:00:00,0,18:02:38,158,00:02:38,158
TIMEEVERY SEAT_1F_LR15 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00545,18:00:00,0,18:02:39,159,00:02:39,159
TIMEEVERY SEAT_1F_LR07 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00226,18:00:00,0,18:02:40,160,00:02:40,160
TIMEEVERY SEAT_1F_LL18 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00662,18:00:00,0,18:02:40,160,00:02:40,160
TIMEEVERY SEAT_1F_RR17 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00661,18:00:00,0,18:02:41,161,00:02:41,161
TIMEEVERY SEAT_1F_CL15 18:00:00 18:00:00 1 1 10 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00550,18:00:00,0,18:02:41,161,00:02:41,161
TIMEEVERY SEAT_1F_RR18 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00698,18:00:00,0,18:02:42,162,00:02:42,162
TIMEEVERY SEAT_1F_LR08 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00265,18:00:00,0,18:02:42,162,00:02:42,162
TIMEEVERY SEAT_1F_LL11 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00379,18:00:00,0,18:02:42,162,00:02:42,162
TIMEEVERY SEAT_1F_CL15 18:00:00 18:00:00 1 1 10 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00555,18:00:00,0,18:02:43,163,00:02:43,163
TIMEEVERY SEAT_1F_RR15 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00576,18:00:00,0,18:02:43,163,00:02:43,163
TIMEEVERY SEAT_1F_LL05 18:00:00 18:00:00 1 1 4 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00143,18:00:00,0,18:02:44,164,00:02:44,164
TIMEEVERY SEAT_1F_CL14 18:00:00 18:00:00 1 1 10 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00516,18:00:00,0,18:02:44,164,00:02:44,164
TIMEEVERY SEAT_1F_RR18 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00703,18:00:00,0,18:02:44,164,00:02:44,164
TIMEEVERY SEAT_1F_LR06 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00183,18:00:00,0,18:02:45,165,00:02:45,165
TIMEEVERY SEAT_1F_RR17 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00658,18:00:00,0,18:02:45,165,00:02:45,165
TIMEEVERY SEAT_1F_RR15 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00573,18:00:00,0,18:02:45,165,00:02:45,165
TIMEEVERY SEAT_1F_LL20 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00746,18:00:00,0,18:02:46,166,00:02:46,166
TIMEEVERY SEAT_1F_LL14 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00501,18:00:00,0,18:02:46,166,00:02:46,166
