実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2020暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2020) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
4- 6.,"485,675.6 ","267,445.7 ","262,206.9 ","222,290.7 ","31,302.9 ","79,191.8 ","-3,744.9 ","80,737.6 ","48,516.6 ",-8.8 ,"-8,799.9 ","41,172.1 ","49,971.9 ","-8,965.2 ",,"16,324.9 ","502,000.5 ","6,340.2 ","10,327.5 ","3,987.2 ","508,340.7 ",,"500,094.9 ","373,451.5 ","126,769.1 ",,"156,311.5 ",,"488,630.7 ",,,
7- 9.,"488,374.4 ","269,630.7 ","264,205.2 ","224,031.6 ","31,417.1 ","78,753.8 ","-3,331.1 ","81,682.9 ","46,955.4 ",-9.8 ,"-8,342.6 ","42,904.3 ","51,246.9 ","-8,382.0 ",,"15,471.4 ","503,845.8 ","6,447.1 ","10,128.0 ","3,680.8 ","510,292.9 ",,"501,872.9 ","375,677.2 ","126,303.5 ",,"154,521.1 ",,"490,932.7 ",,,
10-12.,"488,082.0 ","269,802.6 ","264,398.8 ","223,981.4 ","30,227.8 ","79,734.8 ","-3,552.0 ","82,019.3 ","46,722.2 ",-367.2 ,"-8,897.1 ","43,893.3 ","52,790.4 ","-7,608.6 ",,"16,427.3 ","504,509.3 ","6,769.8 ","10,335.5 ","3,565.7 ","511,279.1 ",,"501,693.5 ","375,653.3 ","126,142.7 ",,"154,335.3 ",,"491,126.9 ",,,
2000/ 1- 3.,"497,255.9 ","272,074.4 ","266,921.1 ","226,248.6 ","30,670.2 ","83,389.0 ","-1,999.0 ","83,099.6 ","43,644.4 ",173.4 ,"-6,556.3 ","46,242.4 ","52,798.7 ","-7,239.7 ",,"14,792.7 ","512,048.6 ","6,450.8 ","10,687.4 ","4,236.7 ","518,499.4 ",,"508,537.9 ","383,637.8 ","124,911.9 ",,"155,861.7 ",,"498,405.5 ",,,
4- 6.,"500,293.5 ","271,399.5 ","266,575.2 ","225,655.0 ","31,520.9 ","82,327.7 ","1,684.9 ","84,155.9 ","43,291.6 ",39.0 ,"-7,160.9 ","47,698.1 ","54,859.0 ","-6,965.1 ",,"15,397.1 ","515,690.6 ","7,814.9 ","11,495.2 ","3,680.3 ","523,505.5 ",,"511,708.3 ","386,157.2 ","125,557.2 ",,"155,143.7 ",,"498,095.2 ",,,
7- 9.,"500,069.2 ","271,787.8 ","267,199.3 ","226,030.7 ","31,005.3 ","85,037.4 ","-1,119.8 ","84,814.6 ","42,584.6 ",-46.0 ,"-7,779.0 ","48,492.1 ","56,271.1 ","-6,215.7 ",,"14,960.7 ","515,029.9 ","7,781.6 ","11,590.8 ","3,809.1 ","522,811.5 ",,"511,717.2 ","386,212.7 ","125,511.5 ",,"156,958.2 ",,"500,572.6 ",,,
10-12.,"505,251.5 ","275,116.8 ","270,562.7 ","229,126.8 ","31,564.6 ","87,711.0 ",310.7 ,"85,323.2 ","41,280.9 ",-69.2 ,"-10,067.4 ","48,306.4 ","58,373.9 ","-5,919.2 ",,"15,551.1 ","520,802.6 ","7,793.1 ","12,005.1 ","4,212.0 ","528,595.7 ",,"519,085.1 ","394,208.1 ","124,818.2 ",,"159,125.6 ",,"504,429.0 ",,,
2001/ 1- 3.,"508,205.1 ","276,416.9 ","271,693.5 ","230,006.1 ","31,576.2 ","87,952.0 ","2,230.7 ","85,442.7 ","42,959.2 ",17.3 ,"-11,916.9 ","46,563.8 ","58,480.7 ","-6,473.0 ",,"15,466.3 ","523,671.4 ","8,062.9 ","12,344.5 ","4,281.6 ","531,734.3 ",,"524,217.5 ","397,629.3 ","126,549.9 ",,"160,918.3 ",,"505,507.6 ",,,
4- 6.,"504,349.8 ","279,080.7 ","274,145.5 ","232,216.1 ","29,953.7 ","85,288.0 ","2,488.4 ","86,181.4 ","40,384.1 ",-205.8 ,"-12,408.6 ","44,790.7 ","57,199.3 ","-6,412.1 ",,"14,437.4 ","518,787.2 ","7,857.9 ","11,937.3 ","4,079.4 ","526,645.1 ",,"521,146.2 ","396,365.4 ","124,726.8 ",,"154,285.4 ",,"501,609.2 ",,,
7- 9.,"498,413.1 ","278,529.3 ","273,463.6 ","231,294.7 ","29,814.2 ","83,986.7 ","-2,191.2 ","86,278.6 ","40,445.3 ",-237.4 ,"-11,707.4 ","43,836.7 ","55,544.0 ","-6,505.0 ",,"14,201.2 ","512,614.2 ","7,782.9 ","11,651.6 ","3,868.7 ","520,397.2 ",,"514,673.9 ","389,799.6 ","124,852.4 ",,"152,826.5 ",,"500,091.6 ",,,
