実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2020暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2020) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
7- 9.,"583,997.0 ","312,553.7 ","303,029.4 ","250,755.3 ","24,534.9 ","104,465.3 ",-246.5 ,"110,859.6 ","29,756.1 ",-113.5 ,"2,397.7 ","95,687.9 ","93,290.3 ",-210.3 ,,"-5,360.5 ","578,636.5 ","22,508.3 ","35,425.5 ","12,917.2 ","601,144.9 ",,"581,725.7 ","441,332.0 ","140,483.6 ",,"158,792.6 ",,"584,369.0 ",,,
10-12.,"567,207.5 ","301,371.2 ","291,583.5 ","239,278.4 ","24,172.0 ","97,761.8 ",591.8 ,"111,461.6 ","29,636.5 ",-61.7 ,"2,427.3 ","93,799.7 ","91,372.4 ",-152.9 ,,"-4,013.2 ","563,194.3 ","21,194.9 ","33,855.4 ","12,660.4 ","584,389.2 ",,"564,919.8 ","423,921.8 ","141,033.6 ",,"151,568.5 ",,"566,630.5 ",,,
2020/ 1- 3.,"569,390.5 ","301,763.5 ","291,641.0 ","239,233.7 ","23,044.7 ","101,134.0 ",-283.2 ,"111,873.2 ","29,346.7 ",-50.4 ,"2,449.7 ","90,367.5 ","87,917.7 ",112.3 ,,"-3,713.7 ","565,676.8 ","22,034.3 ","33,597.6 ","11,563.3 ","587,711.1 ",,"566,810.0 ","425,680.5 ","141,172.0 ",,"153,551.2 ",,"569,718.4 ",,,
4- 6.,"528,285.9 ","278,909.8 ","268,286.7 ","215,836.1 ","23,220.4 ","94,222.0 ","1,831.2 ","111,964.9 ","31,458.0 ",39.6 ,"-12,844.0 ","74,320.0 ","87,163.9 ",-516.0 ,,"1,169.5 ","529,455.4 ","18,047.8 ","28,774.3 ","10,726.5 ","547,503.2 ",,"541,765.9 ","398,285.1 ","143,453.1 ",,"148,879.0 ",,"526,301.5 ",,,
7- 9.,"554,559.0 ","293,512.7 ","282,444.2 ","229,843.2 ","22,121.9 ","95,024.2 ","-2,288.1 ","114,012.5 ","31,008.5 ",70.8 ,783.0 ,"81,469.0 ","80,685.9 ",313.5 ,,"1,061.6 ","555,620.5 ","18,801.2 ","29,426.8 ","10,625.6 ","574,421.8 ",,"553,432.9 ","408,316.8 ","145,103.4 ",,"148,148.7 ",,"556,811.6 ",,,
10-12.,"563,835.2 ","298,956.4 ","287,806.1 ","235,078.3 ","22,165.4 ","97,011.5 ","-3,516.7 ","115,046.7 ","31,139.7 ",-52.2 ,"2,994.0 ","88,407.1 ","85,413.1 ",90.2 ,,"1,702.4 ","565,537.6 ","20,142.5 ","29,897.4 ","9,754.9 ","585,680.0 ",,"560,678.9 ","414,547.2 ","146,129.6 ",,"150,318.1 ",,"567,487.9 ",,,
2021/ 1- 3.,"569,915.2 ","296,761.4 ","285,894.6 ","233,086.8 ","22,656.8 ","98,735.6 ",689.1 ,"114,957.1 ","30,714.4 ",32.8 ,"5,348.6 ","92,473.6 ","87,125.0 ",19.2 ,,"-2,563.0 ","567,352.1 ","22,423.8 ","33,231.7 ","10,807.9 ","589,775.9 ",,"564,511.9 ","418,807.1 ","145,705.9 ",,"152,107.5 ",,"569,239.3 ",,,
4- 6.,"574,076.5 ","298,651.1 ","288,126.2 ","235,207.7 ","22,792.8 ","100,356.7 ",794.6 ,"118,102.5 ","29,943.5 ",-12.1 ,"3,461.2 ","94,718.3 ","91,257.1 ",-13.8 ,,"-5,314.0 ","568,762.5 ","27,398.1 ","38,849.0 ","11,450.9 ","596,160.7 ",,"570,622.5 ","422,586.9 ","148,037.4 ",,"153,092.9 ",,"573,306.8 ",,,
7- 9.,"573,096.6 ","295,807.4 ","285,480.9 ","232,451.4 ","22,607.5 ","99,317.3 ","2,440.1 ","118,725.0 ","29,598.4 ",-55.7 ,"4,668.2 ","93,960.9 ","89,292.7 ",-11.5 ,,"-8,208.5 ","564,888.1 ","26,754.0 ","38,288.6 ","11,534.6 ","591,642.0 ",,"568,455.0 ","420,186.5 ","148,268.7 ",,"151,522.5 ",,"570,695.9 ",,,
10-12.,"579,999.8 ","304,722.7 ","294,449.6 ","241,308.4 ","22,626.1 ","99,428.3 ","2,514.3 ","117,869.6 ","29,114.3 ",-23.4 ,"3,718.4 ","93,396.0 ","89,677.5 ",29.5 ,,"-10,877.0 ","569,122.8 ","28,253.3 ","40,945.4 ","12,692.1 ","597,376.1 ",,"576,280.3 ","429,322.9 ","146,954.5 ",,"151,167.7 ",,"577,467.2 ",,,
2022/ 1- 3.,"577,966.7 ","301,912.5 ","291,550.8 ","238,293.7 ","22,699.4 ","100,385.7 ","3,134.3 ","118,459.3 ","27,731.0 ",-19.3 ,"3,831.8 ","97,078.9 ","93,247.1 ",-168.1 ,,"-13,660.2 ","564,306.5 ","31,920.7 ","44,708.3 ","12,787.6 ","596,227.2 ",,"574,371.3 ","428,231.2 ","146,129.2 ",,"150,808.0 ",,"574,735.4 ",,,
4- 6.,"583,567.6 ","306,689.4 ","296,251.6 ","242,908.3 ","22,611.2 ","102,551.5 ","2,040.4 ","119,658.1 ","27,138.3 ",96.5 ,"3,099.7 ","97,741.6 ","94,641.9 ",-317.4 ,,"-17,426.6 ","566,141.0 ","30,631.8 ","44,529.8 ","13,897.9 ","596,772.9 ",,"580,783.6 ","433,900.5 ","146,862.6 ",,"152,271.7 ",,"581,363.5 ",,,
7- 9.,"581,272.1 ","306,692.0 ","296,229.1 ","242,783.2 ","22,889.0 ","103,704.8 ","2,478.1 ","118,921.3 ","27,244.7 ",-163.3 ,446.4 ,"99,528.6 ","99,082.2 ",-941.0 ,,"-20,456.4 ","560,815.6 ","33,172.8 ","47,705.2 ","14,532.4 ","593,988.4 ",,"581,750.2 ","435,808.7 ","145,911.8 ",,"153,808.3 ",,"578,921.2 ",,,
10-12.,"583,934.3 ","307,793.9 ","297,289.1 ","243,741.9 ","22,804.7 ","103,617.5 ","1,894.0 ","120,007.2 ","27,524.3 ",110.9 ,"1,174.2 ","100,278.1 ","99,103.9 ",-992.4 ,,"-18,706.6 ","565,227.7 ","37,996.8 ","54,450.7 ","16,453.9 ","603,224.5 ",,"583,749.5 ","436,093.6 ","147,634.3 ",,"153,913.0 ",,"581,873.4 ",,,
2023/ 1- 3.,"588,367.0 ","309,212.1 ","298,647.4 ","244,987.8 ","22,949.0 ","104,987.0 ",907.9 ,"120,184.5 ","28,725.9 ",57.9 ,"1,990.8 ","99,364.5 ","97,373.6 ",-648.1 ,,"-16,744.1 ","571,622.9 ","31,007.7 ","49,587.6 ","18,579.9 ","602,630.5 ",,"586,859.5 ","437,864.7 ","148,989.2 ",,"156,616.1 ",,"587,608.5 ",,,
4- 6.,"589,526.1 ","306,548.4 ","295,876.1 ","242,118.6 ","23,622.2 ","103,392.7 ","1,328.4 ","118,560.0 ","28,327.2 ",-107.1 ,"6,883.1 ","100,727.6 ","93,844.5 ",971.3 ,,"-11,894.3 ","577,631.9 ","33,650.3 ","53,294.5 ","19,644.2 ","611,282.2 ",,"581,551.2 ","434,819.8 ","146,704.3 ",,"155,356.7 ",,"588,547.1 ",,,
7- 9.,"581,249.5 ","304,222.2 ","293,449.1 ","239,604.9 ","23,212.8 ","102,964.6 ","-2,129.7 ","118,682.6 ","27,723.8 ",-189.4 ,"7,068.6 ","102,126.3 ","95,057.7 ",-306.0 ,,"-10,102.6 ","571,146.9 ","32,499.8 ","53,604.2 ","21,104.3 ","603,646.8 ",,"573,694.7 ","427,631.8 ","146,069.2 ",,"153,897.4 ",,"584,590.5 ",,,
10-12.,"584,270.9 ","304,369.7 ","293,617.2 ","239,701.4 ","23,167.9 ","105,353.5 ",-602.7 ,"118,672.6 ","27,562.4 ",-161.7 ,"6,570.0 ","104,616.3 ","98,046.2 ",-660.8 ,,"-11,173.7 ","573,097.2 ","34,716.6 ","56,151.6 ","21,435.0 ","607,813.8 ",,"577,856.0 ","431,891.4 ","145,941.0 ",,"156,046.6 ",,"585,712.8 ",,,
2024/ 1- 3.,"581,117.4 ","303,451.9 ","292,838.7 ","238,899.6 ","22,912.7 ","103,067.3 ",-844.1 ,"119,060.0 ","27,279.7 ",-207.9 ,"6,536.7 ","100,714.2 ","94,177.5 ",-139.0 ,,"-11,605.2 ","569,512.2 ","33,563.0 ","56,051.5 ","22,488.5 ","603,075.3 ",,"574,095.9 ","428,143.2 ","145,957.8 ",,"153,236.7 ",,"582,900.4 ",,,
4- 6.,"582,174.9 ","303,537.8 ","293,131.5 ","239,126.4 ","22,827.5 ","104,074.0 ","-1,036.4 ","121,509.7 ","27,535.9 ",-34.1 ,"4,559.0 ","101,198.3 ","96,639.3 ",-798.5 ,,"-9,339.6 ","572,835.3 ","36,110.9 ","59,081.8 ","22,970.8 ","608,946.2 ",,"577,771.3 ","428,934.4 ","148,904.5 ",,"154,402.1 ",,"583,920.8 ",,,
7- 9.,"585,980.8 ","304,846.5 ","294,596.5 ","240,516.5 ","23,052.7 ","104,878.5 ",554.7 ,"121,529.2 ","27,845.8 ",-15.1 ,"4,137.4 ","103,453.9 ","99,316.5 ",-849.0 ,,"-8,978.2 ","577,002.6 ","35,549.4 ","59,426.9 ","23,877.5 ","612,552.0 ",,"582,347.7 ","433,113.9 ","149,276.0 ",,"155,744.3 ",,"585,804.1 ",,,
10-12.,"588,684.5 ","304,963.1 ","294,707.5 ","240,557.6 ","23,197.0 ","104,304.0 ",-661.0 ,"121,589.0 ","27,695.6 ",-126.9 ,"7,766.7 ","105,228.3 ","97,461.6 ",-43.0 ,,"-9,047.1 ","579,637.4 ","34,376.7 ","57,661.4 ","23,284.7 ","614,014.1 ",,"580,368.2 ","431,407.7 ","149,010.6 ",,"155,176.1 ",,"590,121.9 ",,,
2025/ 1- 3.,"590,260.6 ","307,223.2 ","296,798.5 ","242,565.4 ","23,158.3 ","104,836.3 ","1,513.2 ","121,291.7 ","27,670.9 ",-27.4 ,"5,087.8 ","104,968.3 ","99,880.5 ",-493.5 ,,"-10,446.1 ","579,814.4 ","36,732.8 ","59,927.5 ","23,194.7 ","616,547.3 ",,"585,503.2 ","436,651.0 ","148,845.1 ",,"155,637.7 ",,"588,964.0 ",,,
4- 6.,"593,799.9 ","307,956.1 ","297,366.0 ","243,068.6 ","23,167.8 ","106,066.2 ","1,627.9 ","122,133.5 ","27,728.8 ",-101.8 ,"5,707.9 ","106,990.7 ","101,282.8 ",-486.4 ,,"-6,967.7 ","586,832.3 ","33,361.9 ","56,609.5 ","23,247.6 ","620,194.1 ",,"588,386.3 ","438,762.2 ","149,619.5 ",,"156,923.5 ",,"592,486.2 ",,,
7- 9.,"589,930.5 ","309,443.3 ","298,750.5 ","244,406.2 ","21,216.2 ","106,054.4 ",510.3 ,"122,221.6 ","27,362.5 ",-27.6 ,"4,314.2 ","105,476.7 ","101,162.5 ","-1,164.5 ",,"-6,150.9 ","583,779.6 ","38,176.3 ","61,438.5 ","23,262.2 ","621,955.9 ",,"586,282.9 ","436,862.7 ","149,430.1 ",,"154,518.8 ",,"589,831.0 ",,,
10-12.,"591,856.7 ","310,319.5 ","299,516.6 ","245,115.8 ","22,253.6 ","107,469.8 ","-1,027.0 ","122,663.3 ","27,225.9 ",-46.5 ,"4,276.2 ","105,109.2 ","100,833.0 ","-1,278.3 ",,"-5,860.5 ","585,996.1 ","34,663.2 ","58,926.4 ","24,263.2 ","620,659.3 ",,"588,176.3 ","438,487.8 ","149,689.8 ",,"156,860.6 ",,"593,616.7 ",,,
＊年率で表示している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊開差＝国内総生産(支出側)－国内総生産(支出側)の内訳項目計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊財貨・サービスの純輸出は連鎖方式での計算ができないため、財貨・サービスの輸出－財貨・サービスの輸入により求めている。このため寄与度とは符号が一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
