"時間軸（2020～2023） コード","時間軸（2020～2023） 補助コード","時間軸（2020～2023）","性別_基本 コード","性別_基本 補助コード","性別_基本","地域 コード","地域 補助コード","地域","/表章項目","全学歴 所定内給与額【千円】","中学 所定内給与額【千円】","高校 所定内給与額【千円】","専門学校 所定内給与額【千円】","高専 短大 所定内給与額【千円】","大学 所定内給与額【千円】","大学院 所定内給与額【千円】"
"2023000000","","2023年","02","","男","21000","","岐阜県","","196.1","-","181.2","210.1","210.9","193.0","258.0"
"2023000000","","2023年","02","","男","22000","","静岡県","","225.9","193.6","192.3","201.2","251.3","243.5","258.3"
"2023000000","","2023年","02","","男","23000","","愛知県","","220.4","200.0","187.0","200.0","222.6","241.6","263.4"
"2023000000","","2023年","02","","男","24000","","三重県","","234.1","-","213.7","218.3","206.2","223.0","324.0"
"2023000000","","2023年","02","","男","25000","","滋賀県","","234.7","-","199.7","192.8","237.7","256.0","266.9"
"2023000000","","2023年","02","","男","26000","","京都府","","236.8","-","201.6","214.1","256.5","242.2","281.5"
"2023000000","","2023年","02","","男","27000","","大阪府","","231.2","-","189.1","208.1","242.7","238.1","280.8"
"2023000000","","2023年","02","","男","28000","","兵庫県","","215.4","-","192.4","207.9","204.6","232.4","254.7"
"2023000000","","2023年","02","","男","29000","","奈良県","","224.9","-","189.0","214.2","200.0","241.0","265.4"
"2023000000","","2023年","02","","男","30000","","和歌山県","","220.6","-","179.3","207.8","218.2","245.9","248.4"
"2023000000","","2023年","02","","男","31000","","鳥取県","","188.8","-","176.3","178.7","194.1","208.2","240.8"
"2023000000","","2023年","02","","男","32000","","島根県","","199.4","-","174.8","191.4","182.2","226.1","245.0"
"2023000000","","2023年","02","","男","33000","","岡山県","","211.3","-","185.6","208.6","198.1","226.1","282.5"
"2023000000","","2023年","02","","男","34000","","広島県","","213.2","-","199.1","204.7","208.1","226.1","230.9"
"2023000000","","2023年","02","","男","35000","","山口県","","214.2","-","187.6","187.0","191.3","286.3","246.9"
"2023000000","","2023年","02","","男","36000","","徳島県","","235.2","-","183.4","251.1","201.9","221.3","317.7"
